,hh_village_code,hh_reserve_section,n,Question,Value,survey,topic
103,15,FORET CLASSEE,141,Do you have a mosquito net?,141,test,Mosquito Nets
104,15,FORET CLASSEE,141,Do you own a net to scare mosquitos?,138,test,Mosquito Nets
105,15,FORET CLASSEE,141,Do you own a net to fish?,0,test,Mosquito Nets
106,15,FORET CLASSEE,141,Do you own a net to catch poultry?,4,test,Mosquito Nets
107,15,FORET CLASSEE,141,Do you own a net for other reasons?,3,test,Mosquito Nets
108,15,FORET CLASSEE,141,Do you avoid mosquitos with other ways?,0,test,Mosquito Nets
109,15,FORET CLASSEE,141,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
110,15,FORET CLASSEE,141,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
111,15,FORET CLASSEE,141,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
112,15,FORET CLASSEE,141,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
113,15,FORET CLASSEE,141,Do you use a mosquito net when you sleep?,130,test,Mosquito Nets
114,15,FORET CLASSEE,141,How many mosquito nets do you have?,2.687943262,test,Mosquito Nets
115,15,FORET CLASSEE,141,People who have not responded to where they got their nets,138,test,Mosquito Nets
116,15,FORET CLASSEE,141,People who got their nets from a street/shop/market,2,test,Mosquito Nets
117,15,FORET CLASSEE,141,People who got their net from a community officer,NA,test,Mosquito Nets
118,15,FORET CLASSEE,141,People who dont know where they got their nets,NA,test,Mosquito Nets
119,15,FORET CLASSEE,141,People who got their net from a public health center,1,test,Mosquito Nets
120,15,FORET CLASSEE,141,People who got their net from other places,NA,test,Mosquito Nets
121,15,FORET CLASSEE,141,People who got their net from a private health center,NA,test,Mosquito Nets
122,15,FORET CLASSEE,141,People who got their net through an MID campaign,138,test,Mosquito Nets
123,15,FORET CLASSEE,141,People who did not get a net,3,test,Mosquito Nets
124,15,FORET CLASSEE,141,People who got a net through CPN,NA,test,Mosquito Nets
125,15,FORET CLASSEE,141,People who got a net through a vaccination visit,NA,test,Mosquito Nets
126,15,FORET CLASSEE,141,People who dont know where they got their net,NA,test,Mosquito Nets
127,15,FORET CLASSEE,141,People who use Permanet brand,132,test,Mosquito Nets
128,15,FORET CLASSEE,141,People who use other brands,3,test,Mosquito Nets
129,15,FORET CLASSEE,141,People who use Yorkool,NA,test,Mosquito Nets
130,15,FORET CLASSEE,141,People who use Super Moustiquaire,1,test,Mosquito Nets
131,15,FORET CLASSEE,141,People who use Tsaralay,NA,test,Mosquito Nets
132,15,FORET CLASSEE,141,People who dont know what brand they use,4,test,Mosquito Nets
133,15,FORET CLASSEE,141,People who use Royal Sentry,NA,test,Mosquito Nets
134,15,FORET CLASSEE,141,People who use Olyset,NA,test,Mosquito Nets
135,15,FORET CLASSEE,141,People who use Bestnet,1,test,Mosquito Nets
136,15,FORET CLASSEE,141,People who use interceptor,NA,test,Mosquito Nets
137,16,FORET CLASSEE,134,Do you have a mosquito net?,134,test,Mosquito Nets
138,16,FORET CLASSEE,134,Do you own a net to scare mosquitos?,134,test,Mosquito Nets
139,16,FORET CLASSEE,134,Do you own a net to fish?,0,test,Mosquito Nets
140,16,FORET CLASSEE,134,Do you own a net to catch poultry?,2,test,Mosquito Nets
141,16,FORET CLASSEE,134,Do you own a net for other reasons?,0,test,Mosquito Nets
142,16,FORET CLASSEE,134,Do you avoid mosquitos with other ways?,11,test,Mosquito Nets
143,16,FORET CLASSEE,134,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
144,16,FORET CLASSEE,134,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
145,16,FORET CLASSEE,134,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
146,16,FORET CLASSEE,134,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
147,16,FORET CLASSEE,134,Do you use a mosquito net when you sleep?,124,test,Mosquito Nets
148,16,FORET CLASSEE,134,How many mosquito nets do you have?,1.970149254,test,Mosquito Nets
149,16,FORET CLASSEE,134,People who have not responded to where they got their nets,131,test,Mosquito Nets
150,16,FORET CLASSEE,134,People who got their nets from a street/shop/market,3,test,Mosquito Nets
151,16,FORET CLASSEE,134,People who got their net from a community officer,NA,test,Mosquito Nets
152,16,FORET CLASSEE,134,People who dont know where they got their nets,NA,test,Mosquito Nets
153,16,FORET CLASSEE,134,People who got their net from a public health center,NA,test,Mosquito Nets
154,16,FORET CLASSEE,134,People who got their net from other places,NA,test,Mosquito Nets
155,16,FORET CLASSEE,134,People who got their net from a private health center,NA,test,Mosquito Nets
156,16,FORET CLASSEE,134,People who got their net through an MID campaign,130,test,Mosquito Nets
157,16,FORET CLASSEE,134,People who did not get a net,3,test,Mosquito Nets
158,16,FORET CLASSEE,134,People who got a net through CPN,1,test,Mosquito Nets
159,16,FORET CLASSEE,134,People who got a net through a vaccination visit,NA,test,Mosquito Nets
160,16,FORET CLASSEE,134,People who dont know where they got their net,NA,test,Mosquito Nets
161,16,FORET CLASSEE,134,People who use Permanet brand,124,test,Mosquito Nets
162,16,FORET CLASSEE,134,People who use other brands,NA,test,Mosquito Nets
163,16,FORET CLASSEE,134,People who use Yorkool,NA,test,Mosquito Nets
164,16,FORET CLASSEE,134,People who use Super Moustiquaire,2,test,Mosquito Nets
165,16,FORET CLASSEE,134,People who use Tsaralay,NA,test,Mosquito Nets
166,16,FORET CLASSEE,134,People who dont know what brand they use,8,test,Mosquito Nets
167,16,FORET CLASSEE,134,People who use Royal Sentry,NA,test,Mosquito Nets
168,16,FORET CLASSEE,134,People who use Olyset,NA,test,Mosquito Nets
169,16,FORET CLASSEE,134,People who use Bestnet,NA,test,Mosquito Nets
170,16,FORET CLASSEE,134,People who use interceptor,NA,test,Mosquito Nets
171,17,FORET CLASSEE,62,Do you have a mosquito net?,62,test,Mosquito Nets
172,17,FORET CLASSEE,62,Do you own a net to scare mosquitos?,62,test,Mosquito Nets
173,17,FORET CLASSEE,62,Do you own a net to fish?,1,test,Mosquito Nets
174,17,FORET CLASSEE,62,Do you own a net to catch poultry?,1,test,Mosquito Nets
175,17,FORET CLASSEE,62,Do you own a net for other reasons?,0,test,Mosquito Nets
176,17,FORET CLASSEE,62,Do you avoid mosquitos with other ways?,4,test,Mosquito Nets
177,17,FORET CLASSEE,62,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
178,17,FORET CLASSEE,62,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
179,17,FORET CLASSEE,62,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
180,17,FORET CLASSEE,62,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
181,17,FORET CLASSEE,62,Do you use a mosquito net when you sleep?,54,test,Mosquito Nets
182,17,FORET CLASSEE,62,How many mosquito nets do you have?,2.064516129,test,Mosquito Nets
183,17,FORET CLASSEE,62,People who have not responded to where they got their nets,61,test,Mosquito Nets
184,17,FORET CLASSEE,62,People who got their nets from a street/shop/market,NA,test,Mosquito Nets
185,17,FORET CLASSEE,62,People who got their net from a community officer,1,test,Mosquito Nets
186,17,FORET CLASSEE,62,People who dont know where they got their nets,NA,test,Mosquito Nets
187,17,FORET CLASSEE,62,People who got their net from a public health center,NA,test,Mosquito Nets
188,17,FORET CLASSEE,62,People who got their net from other places,NA,test,Mosquito Nets
189,17,FORET CLASSEE,62,People who got their net from a private health center,NA,test,Mosquito Nets
190,17,FORET CLASSEE,62,People who got their net through an MID campaign,60,test,Mosquito Nets
191,17,FORET CLASSEE,62,People who did not get a net,1,test,Mosquito Nets
192,17,FORET CLASSEE,62,People who got a net through CPN,1,test,Mosquito Nets
193,17,FORET CLASSEE,62,People who got a net through a vaccination visit,NA,test,Mosquito Nets
194,17,FORET CLASSEE,62,People who dont know where they got their net,NA,test,Mosquito Nets
195,17,FORET CLASSEE,62,People who use Permanet brand,61,test,Mosquito Nets
196,17,FORET CLASSEE,62,People who use other brands,NA,test,Mosquito Nets
197,17,FORET CLASSEE,62,People who use Yorkool,NA,test,Mosquito Nets
198,17,FORET CLASSEE,62,People who use Super Moustiquaire,NA,test,Mosquito Nets
199,17,FORET CLASSEE,62,People who use Tsaralay,NA,test,Mosquito Nets
200,17,FORET CLASSEE,62,People who dont know what brand they use,1,test,Mosquito Nets
201,17,FORET CLASSEE,62,People who use Royal Sentry,NA,test,Mosquito Nets
202,17,FORET CLASSEE,62,People who use Olyset,NA,test,Mosquito Nets
203,17,FORET CLASSEE,62,People who use Bestnet,NA,test,Mosquito Nets
